_id,clusterID,connectionTime,disconnectTime,doneChargingTime,kWhDelivered,sessionID,siteID,spaceID,stationID,timezone,userID,userInputs
5bc92146f9af8b0dc677c09c,0039,"Sun, 10 Jun 2018 19:33:21 GMT","Sun, 10 Jun 2018 21:42:28 GMT","Sun, 10 Jun 2018 21:05:33 GMT",9.08,2_39_127_19_2018-06-10 19:33:21.100849,0002,CA-309,2-39-127-19,America/Los_Angeles,,
5bc92146f9af8b0dc677c09d,0039,"Sun, 10 Jun 2018 20:36:39 GMT","Sun, 10 Jun 2018 21:27:21 GMT","Sun, 10 Jun 2018 21:27:12 GMT",5.395,2_39_139_28_2018-06-10 20:36:38.986927,0002,CA-303,2-39-139-28,America/Los_Angeles,,
5bc92146f9af8b0dc677c09e,0039,"Sun, 10 Jun 2018 20:47:00 GMT","Mon, 11 Jun 2018 00:27:41 GMT","Mon, 11 Jun 2018 00:05:56 GMT",13.924,2_39_123_23_2018-06-10 20:47:00.226188,0002,CA-313,2-39-123-23,America/Los_Angeles,,
5bc92146f9af8b0dc677c09f,0039,"Sun, 10 Jun 2018 21:05:55 GMT","Mon, 11 Jun 2018 00:27:25 GMT","Mon, 11 Jun 2018 00:28:24 GMT",13.97,2_39_124_22_2018-06-10 21:05:55.110886,0002,CA-312,2-39-124-22,America/Los_Angeles,,
5bc92146f9af8b0dc677c0a0,0039,"Sun, 10 Jun 2018 22:01:14 GMT","Mon, 11 Jun 2018 02:32:57 GMT","Mon, 11 Jun 2018 01:43:10 GMT",11.84,2_39_139_28_2018-06-10 22:01:14.374876,0002,CA-303,2-39-139-28,America/Los_Angeles,,
5bc92146f9af8b0dc677c0a1,0039,"Sun, 10 Jun 2018 22:13:29 GMT","Mon, 11 Jun 2018 03:26:54 GMT","Mon, 11 Jun 2018 03:11:43 GMT",13.933,2_39_128_18_2018-06-10 22:13:28.760384,0002,CA-308,2-39-128-18,America/Los_Angeles,,
5bc92146f9af8b0dc677c0a2,0039,"Sun, 10 Jun 2018 22:59:20 GMT","Sun, 10 Jun 2018 23:40:51 GMT","Sun, 10 Jun 2018 23:40:42 GMT",3.979,2_39_95_27_2018-06-10 22:59:20.155546,0002,CA-319,2-39-95-27,America/Los_Angeles,,
5bc92146f9af8b0dc677c0a3,0039,"Sun, 10 Jun 2018 23:40:35 GMT","Mon, 11 Jun 2018 01:50:53 GMT","Mon, 11 Jun 2018 00:30:58 GMT",4.954,2_39_79_382_2018-06-10 23:40:34.808645,0002,CA-491,2-39-79-382,America/Los_Angeles,,
5bc92146f9af8b0dc677c0a4,0039,"Sun, 10 Jun 2018 23:42:00 GMT","Mon, 11 Jun 2018 01:47:55 GMT","Mon, 11 Jun 2018 01:47:46 GMT",6.449,2_39_79_376_2018-06-10 23:42:00.344879,0002,CA-324,2-39-79-376,America/Los_Angeles,,
5bc92146f9af8b0dc677c0a5,0039,"Mon, 11 Jun 2018 00:27:29 GMT","Mon, 11 Jun 2018 02:32:05 GMT","Mon, 11 Jun 2018 02:31:52 GMT",12.763,2_39_124_22_2018-06-11 00:27:28.801771,0002,CA-312,2-39-124-22,America/Los_Angeles,,
5bc92146f9af8b0dc677c0a6,0039,"Mon, 11 Jun 2018 00:37:17 GMT","Mon, 11 Jun 2018 00:47:24 GMT","Mon, 11 Jun 2018 00:48:23 GMT",0.972,2_39_126_20_2018-06-11 00:37:17.056277,0002,CA-310,2-39-126-20,America/Los_Angeles,,
5bc92146f9af8b0dc677c0a7,0039,"Mon, 11 Jun 2018 00:41:10 GMT","Mon, 11 Jun 2018 03:02:10 GMT","Mon, 11 Jun 2018 03:02:06 GMT",13.338,2_39_129_17_2018-06-11 00:41:09.800724,0002,CA-307,2-39-129-17,America/Los_Angeles,,
5bc92146f9af8b0dc677c0a8,0039,"Mon, 11 Jun 2018 00:41:19 GMT","Mon, 11 Jun 2018 03:42:00 GMT","Mon, 11 Jun 2018 03:23:52 GMT",10.882,2_39_127_19_2018-06-11 00:41:18.812530,0002,CA-309,2-39-127-19,America/Los_Angeles,,
5bc92146f9af8b0dc677c0a9,0039,"Mon, 11 Jun 2018 01:50:13 GMT","Mon, 11 Jun 2018 13:26:45 GMT","Mon, 11 Jun 2018 13:21:01 GMT",14.073,2_39_138_29_2018-06-11 01:50:13.083593,0002,CA-304,2-39-138-29,America/Los_Angeles,,
5bc92146f9af8b0dc677c0aa,0039,"Mon, 11 Jun 2018 01:51:23 GMT","Mon, 11 Jun 2018 06:21:19 GMT","Mon, 11 Jun 2018 06:21:11 GMT",25.509,2_39_79_377_2018-06-11 01:51:22.779323,0002,CA-325,2-39-79-377,America/Los_Angeles,,
5bc92146f9af8b0dc677c0ab,0039,"Mon, 11 Jun 2018 02:10:13 GMT","Mon, 11 Jun 2018 04:53:58 GMT","Mon, 11 Jun 2018 04:22:38 GMT",6.143,2_39_126_20_2018-06-11 02:10:13.492598,0002,CA-310,2-39-126-20,America/Los_Angeles,,
5bc92146f9af8b0dc677c0ac,0039,"Mon, 11 Jun 2018 04:01:26 GMT","Mon, 11 Jun 2018 15:44:27 GMT","Mon, 11 Jun 2018 09:06:22 GMT",16.447,2_39_79_378_2018-06-11 04:01:25.977550,0002,CA-326,2-39-79-378,America/Los_Angeles,,
5bc92146f9af8b0dc677c0ad,0039,"Mon, 11 Jun 2018 04:18:00 GMT","Mon, 11 Jun 2018 05:04:23 GMT","Mon, 11 Jun 2018 04:54:35 GMT",3.561,2_39_79_382_2018-06-11 04:18:00.366007,0002,CA-491,2-39-79-382,America/Los_Angeles,,
5bc92146f9af8b0dc677c0ae,0039,"Mon, 11 Jun 2018 04:55:48 GMT","Mon, 11 Jun 2018 13:46:56 GMT","Mon, 11 Jun 2018 07:18:22 GMT",13.779,2_39_129_17_2018-06-11 04:55:47.829983,0002,CA-307,2-39-129-17,America/Los_Angeles,,
5bc92146f9af8b0dc677c0af,0039,"Mon, 11 Jun 2018 05:39:22 GMT","Mon, 11 Jun 2018 15:47:45 GMT","Mon, 11 Jun 2018 08:42:52 GMT",18.518,2_39_79_380_2018-06-11 05:39:22.073833,0002,CA-489,2-39-79-380,America/Los_Angeles,,
5bc92186f9af8b0dc677c0b0,0039,"Mon, 11 Jun 2018 07:05:12 GMT","Mon, 11 Jun 2018 07:39:26 GMT","Mon, 11 Jun 2018 07:40:24 GMT",3.749,2_39_127_19_2018-06-11 07:05:12.495099,0002,CA-309,2-39-127-19,America/Los_Angeles,,
5bc92186f9af8b0dc677c0b1,0039,"Mon, 11 Jun 2018 07:39:45 GMT","Mon, 11 Jun 2018 08:40:42 GMT","Mon, 11 Jun 2018 08:40:34 GMT",6.571,2_39_127_19_2018-06-11 07:39:45.189997,0002,CA-309,2-39-127-19,America/Los_Angeles,,
5bc92186f9af8b0dc677c0b2,0039,"Mon, 11 Jun 2018 11:53:10 GMT","Mon, 11 Jun 2018 21:24:28 GMT","Mon, 11 Jun 2018 15:52:30 GMT",11.629,2_39_79_383_2018-06-11 11:53:10.185195,0002,CA-492,2-39-79-383,America/Los_Angeles,,
5bc92186f9af8b0dc677c0b3,0039,"Mon, 11 Jun 2018 13:54:18 GMT","Mon, 11 Jun 2018 20:37:07 GMT","Mon, 11 Jun 2018 20:37:01 GMT",16.639,2_39_78_367_2018-06-11 13:54:18.450424,0002,CA-494,2-39-78-367,America/Los_Angeles,,
5bc92186f9af8b0dc677c0b4,0039,"Mon, 11 Jun 2018 13:57:18 GMT","Mon, 11 Jun 2018 23:34:57 GMT","Mon, 11 Jun 2018 18:25:08 GMT",17.176,2_39_91_441_2018-06-11 13:57:18.199063,0002,CA-499,2-39-91-441,America/Los_Angeles,,
5bc92186f9af8b0dc677c0b5,0039,"Mon, 11 Jun 2018 14:27:29 GMT","Mon, 11 Jun 2018 23:45:01 GMT","Mon, 11 Jun 2018 15:07:04 GMT",1.014,2_39_79_381_2018-06-11 14:27:28.926869,0002,CA-490,2-39-79-381,America/Los_Angeles,,
5bc92186f9af8b0dc677c0b6,0039,"Mon, 11 Jun 2018 14:36:59 GMT","Mon, 11 Jun 2018 23:49:51 GMT","Mon, 11 Jun 2018 23:50:50 GMT",2.828,2_39_78_362_2018-06-11 14:36:59.329266,0002,CA-496,2-39-78-362,America/Los_Angeles,,
5bc92186f9af8b0dc677c0b7,0039,"Mon, 11 Jun 2018 14:37:03 GMT","Tue, 12 Jun 2018 01:07:26 GMT","Tue, 12 Jun 2018 00:07:47 GMT",17.383,2_39_139_28_2018-06-11 14:37:03.017695,0002,CA-303,2-39-139-28,America/Los_Angeles,,
5bc92186f9af8b0dc677c0b8,0039,"Mon, 11 Jun 2018 14:42:56 GMT","Mon, 11 Jun 2018 23:52:48 GMT","Mon, 11 Jun 2018 21:04:07 GMT",15.408,2_39_79_382_2018-06-11 14:42:56.186850,0002,CA-491,2-39-79-382,America/Los_Angeles,,
5bc92186f9af8b0dc677c0b9,0039,"Mon, 11 Jun 2018 15:01:45 GMT","Mon, 11 Jun 2018 23:59:52 GMT","Mon, 11 Jun 2018 17:16:47 GMT",6.174,2_39_79_376_2018-06-11 15:01:45.503009,0002,CA-324,2-39-79-376,America/Los_Angeles,,
